Soal;siswa1;siswa2;siswa3;siswa4;siswa5;siswa6;siswa7;siswa8;siswa9;siswa10;siswa11;siswa12;siswa13;siswa14;siswa15;siswa16;siswa17;siswa18;siswa19;siswa20;siswa21;siswa22;siswa23;siswa24;siswa25;siswa26;siswa27;siswa28;siswa29;siswa30;siswa31;siswa32;siswa33;siswa34;siswa35;siswa36;siswa37;siswa38;siswa39;siswa40;siswa41;siswa42;siswa43;siswa44;siswa45;siswa46;siswa47;siswa48;siswa49;siswa50;siswa51;siswa52;siswa53;siswa54;siswa55;siswa56;siswa57;siswa58;siswa59;siswa60;siswa61;siswa62;siswa63;siswa64
1;0;3;3;3;0;0;0;3;0;3;3;0;3;3;0;3;0;0;0;0;0;0;3;0;0;3;3;3;3;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;3;0;3
2;0;3;3;0;3;3;0;0;0;0;0;0;3;0;0;0;3;0;0;3;0;0;0;3;3;3;3;0;0;3;0;0;0;0;3;0;0;0;0;0;3;0;3;3;3;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;3
3;3;3;0;3;3;3;3;3;3;0;0;0;3;3;3;0;3;0;0;3;3;0;0;0;0;3;3;3;0;0;0;0;0;0;3;0;3;0;0;3;0;3;0;3;0;3;0;3;3;0;0;0;3;0;0;0;3;3;0;0;3;3;0;0
4;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;3;3;3;0;3;0;3;0;3;3;3;0;0;3;3;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;3
5;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;3;3;0;3;3;0;3;0;0;3;0;3;0;0;3;3;3;0;0;0;0;3;3;3;0;3;0;0;3;0;0;0;0;3;0;3;3;0;0;3;3;0;0;3
6;0;3;3;0;3;0;0;3;0;3;0;3;0;3;0;0;3;0;3;0;0;0;0;3;0;3;0;3;0;3;0;3;3;0;0;0;0;3;0;0;3;0;0;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
7;3;3;0;3;0;0;3;0;0;0;3;0;3;0;3;0;0;0;3;3;3;0;0;3;3;3;3;3;0;0;3;3;0;3;3;3;0;0;3;0;0;0;0;0;0;3;0;0;0;0;3;0;0;3;3;0;0;0;0;0;3;0;0;3
8;0;3;0;0;0;0;3;0;0;0;3;3;0;0;0;0;0;0;3;3;3;3;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;3;0;3;0;3;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0
9;0;3;3;0;3;0;3;0;3;0;0;3;0;0;0;0;3;0;0;3;3;3;3;0;0;3;0;3;3;0;0;0;0;3;3;3;0;0;0;3;3;0;3;3;3;0;3;0;0;0;0;3;0;3;0;3;3;0;0;0;0;3;0;0
10;0;3;0;3;3;0;0;0;0;0;0;0;3;0;0;0;0;3;0;3;0;3;3;0;0;3;0;3;3;0;0;0;0;3;3;0;0;3;0;0;0;0;3;3;0;3;3;0;3;0;0;0;0;0;0;0;3;3;3;0;0;3;0;0
11;0;0;3;3;3;0;3;0;0;0;3;0;3;0;0;0;0;0;0;3;0;3;0;0;0;3;3;3;0;0;0;0;0;0;3;3;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;3;0;3;0;0;3;0;0;0;0;0;0;0
12;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;0;3;3;0;0;3;0;0;0;3;3;0;0;0;0;0;3;3;3;0;3;3;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;3
13;0;3;0;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;3;0;3;0;3;0;0;3;0;3;0;0;3;0;3;0;0;0;3;3;3;0;3;0;0;0;0;0;0;0;3;0;0;3;0;3;0;0;0;0;0
14;3;3;0;3;3;0;3;3;0;0;0;0;0;0;3;0;0;0;3;3;3;0;0;3;0;0;0;0;0;3;0;3;3;0;0;0;3;0;3;3;3;0;3;3;0;0;0;0;3;0;0;0;3;0;0;3;0;0;0;0;0;0;0;3
15;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;0;3;3;0;3;0;0;0;0;3;3;3;0;0;0;0;3;0;0;3;0;0;3;3;0;0;0;3;0;0;3;0;0;0;0;0;0;0;3;0;3
16;0;3;0;3;3;0;3;3;3;0;0;0;0;0;0;0;0;0;3;3;0;3;3;0;0;0;0;3;3;0;0;0;0;0;3;3;0;0;3;0;0;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
17;0;0;3;0;3;0;0;0;3;3;3;3;0;3;0;3;3;0;3;0;0;0;0;0;0;3;3;0;3;0;3;0;3;3;0;3;0;0;0;0;3;0;3;0;3;0;0;0;0;0;0;0;0;3;0;0;3;0;0;3;3;0;0;0
18;0;3;0;0;0;3;3;3;0;0;0;3;3;3;3;0;0;3;3;0;0;3;3;0;0;3;3;3;0;0;0;0;0;3;0;0;0;3;0;0;0;3;0;3;0;3;0;0;0;3;0;3;0;0;0;3;3;3;0;0;3;0;0;3
19;3;0;3;3;3;0;0;3;0;0;0;3;0;0;0;3;3;3;3;3;3;3;0;3;3;3;3;3;0;3;0;0;0;3;0;3;3;0;3;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;3;0;3;0;3
20;0;0;3;3;3;0;0;3;3;0;0;0;0;3;0;0;0;0;0;3;0;0;3;3;0;3;3;0;3;0;0;0;0;0;0;3;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;3;0;0;0;3;0;0;0;0;0;0;0
21;0;0;0;3;0;0;3;3;3;0;0;3;3;3;0;3;3;0;3;3;3;3;0;0;0;3;0;3;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;3;3;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;3;3;3;0;3;0;3;0;3;0;0;3;3;0;0;0;3;0;0;0;0;3;0;3;3;0;0;0;0;0;0;0;3;3;0;3;0;3;3;0;3;0;0;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;3
23;3;3;0;3;0;3;0;0;3;0;0;0;0;0;3;0;0;0;3;3;3;0;0;0;0;3;0;0;3;3;0;0;0;3;0;0;3;3;3;0;3;0;0;0;0;3;0;0;0;3;0;3;0;0;3;0;0;0;0;0;3;0;0;3
24;0;0;0;0;0;0;3;3;0;0;0;0;0;0;3;0;0;0;3;3;0;3;3;3;0;0;0;0;0;0;3;0;3;0;0;3;0;0;0;3;3;3;3;0;3;3;0;0;0;3;0;0;3;3;0;3;0;0;3;3;3;3;0;0
25;0;0;0;3;3;3;0;0;3;3;0;0;0;0;3;3;3;0;0;3;0;0;3;3;0;3;3;0;0;0;0;3;0;3;3;3;0;3;0;3;0;0;3;0;0;3;0;0;0;3;0;0;0;0;3;0;3;3;0;0;0;0;0;0
26;3;0;3;3;3;0;3;0;3;3;0;0;3;3;3;3;0;0;3;0;0;0;0;0;3;0;0;3;3;0;3;0;0;0;3;0;0;3;3;0;0;0;3;0;3;3;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0
27;3;0;3;0;0;0;0;0;0;0;3;3;3;3;0;0;0;3;0;3;0;0;0;3;0;0;3;0;3;0;0;0;0;0;0;3;0;3;3;0;0;0;0;0;0;0;3;0;0;3;0;0;3;0;0;0;0;0;0;3;3;0;0;0
28;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;0;3;3;0;3;0;0;0;3;0;0;0;0;3;3;0;0;0;0;3;0;3;0;3;3;0;3;3;0;0;0;0;3;3;3;3;0;0;0;0;3;0;0
29;3;3;3;0;3;0;3;0;3;0;0;0;0;0;3;3;0;0;0;3;3;3;3;0;0;3;0;3;0;0;0;0;0;0;0;0;0;3;3;3;3;0;3;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
30;0;3;3;0;0;0;3;0;3;0;3;0;0;0;0;3;3;0;3;3;3;3;0;0;3;3;0;3;0;3;3;3;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;3;0;0;3;0;0;0;0
